region;date;cases;deaths;nCFR;nCFR_LQ;nCFR_UQ;cCFR;cCFR_LQ;cCFR_UQ;letalidad_caso_cruda;letalidad_caso_aj_retraso
Antofagasta;2020-05-04;   760;   7;0,012793177;4,708950e-03;0,027636236;0,054139468;0,0200926593;0,11394449;1.28% (0.471% - 2.76%);5.41% (2.01% - 11.4%)
Antofagasta;2020-05-05;   811;   7;0,011538462;4,245859e-03;0,024944223;0,044353541;0,0164825365;0,09422588;1.15% (0.425% - 2.49%);4.44% (1.65% - 9.42%)
Antofagasta;2020-05-06;   855;   7;0,010638298;3,913795e-03;0,023010437;0,036872385;0,0136262983;0,07839495;1.06% (0.391% - 2.3%);3.69% (1.36% - 7.84%)
Antofagasta;2020-05-07;   895;   7;0,009933775;3,653999e-03;0,021495498;0,031146462;0,0114925608;0,06643445;0.993% (0.365% - 2.15%);3.11% (1.15% - 6.64%)
Antofagasta;2020-05-08;   923;   9;0,012658228;5,480336e-03;0,024788752;0,035622966;0,0154731183;0,06885400;1.27% (0.548% - 2.48%);3.56% (1.55% - 6.89%)
Antofagasta;2020-05-09;   947;  10;0,013719512;6,292113e-03;0,025883573;0,034877588;0,0160728686;0,06518509;1.37% (0.629% - 2.59%);3.49% (1.61% - 6.52%)
Antofagasta;2020-05-10;   978;  10;0,013100437;6,007380e-03;0,024722512;0,030775354;0,0141886789;0,05770131;1.31% (0.601% - 2.47%);3.08% (1.42% - 5.77%)
Antofagasta;2020-05-11;  1014;  10;0,012448133;5,707448e-03;0,023498426;0,027509188;0,0126608365;0,05160244;1.24% (0.571% - 2.35%);2.75% (1.27% - 5.16%)
Antofagasta;2020-05-12;  1109;  10;0,011002445;5,043018e-03;0,020782932;0,024872392;0,0114300525;0,04666946;1.1% (0.504% - 2.08%);2.49% (1.14% - 4.67%)
Antofagasta;2020-05-13;  1216;  11;0,010810811;5,196038e-03;0,019791345;0,025207871;0,0121436836;0,04583440;1.08% (0.52% - 1.98%);2.52% (1.21% - 4.58%)
Antofagasta;2020-05-14;  1277;  11;0,010141988;4,873889e-03;0,018572159;0,023101445;0,0111290750;0,04206092;1.01% (0.487% - 1.86%);2.31% (1.11% - 4.21%)
Antofagasta;2020-05-15;  1331;  12;0,010576923;5,291456e-03;0,018846069;0,023319432;0,0116899022;0,04131600;1.06% (0.529% - 1.88%);2.33% (1.17% - 4.13%)
Antofagasta;2020-05-16;  1429;  12;0,009666081;4,834869e-03;0,017229334;0,021412626;0,0107304513;0,03796872;0.967% (0.483% - 1.72%);2.14% (1.07% - 3.8%)
Antofagasta;2020-05-17;  1505;  13;0,009884679;5,117693e-03;0,017202826;0,021473576;0,0111402884;0,03719789;0.988% (0.512% - 1.72%);2.15% (1.11% - 3.72%)
Antofagasta;2020-05-18;  1589;  14;0,010015408;5,343256e-03;0,017065760;0,021412867;0,0114516503;0,03634495;1% (0.534% - 1.71%);2.14% (1.15% - 3.63%)
Antofagasta;2020-05-19;  1648;  16;0,011053795;6,199556e-03;0,018166111;0,022775584;0,0127942390;0,03726451;1.11% (0.62% - 1.82%);2.28% (1.28% - 3.73%)
Antofagasta;2020-05-20;  1731;  17;0,011111111;6,363926e-03;0,017981185;0,022437054;0,0128797427;0,03618652;1.11% (0.636% - 1.8%);2.24% (1.29% - 3.62%)
Antofagasta;2020-05-21;  1778;  17;0,010759919;6,162381e-03;0,017414764;0,020774081;0,0119226367;0,03352529;1.08% (0.616% - 1.74%);2.08% (1.19% - 3.35%)
Antofagasta;2020-05-22;  1841;  17;0,010322581;5,911434e-03;0,016709227;0,019291884;0,0110710702;0,03115377;1.03% (0.591% - 1.67%);1.93% (1.11% - 3.12%)
Antofagasta;2020-05-23;  1897;  21;0,012453300;7,622939e-03;0,019167870;0,022473203;0,0137791819;0,03449348;1.25% (0.762% - 1.92%);2.25% (1.38% - 3.45%)
Antofagasta;2020-05-24;  1947;  21;0,012077295;7,392303e-03;0,018591041;0,021023368;0,0128921516;0,03229374;1.21% (0.739% - 1.86%);2.1% (1.29% - 3.23%)
Antofagasta;2020-05-25;  2015;  21;0,011600928;7,100150e-03;0,017860078;0,019743989;0,0121004227;0,03032793;1.16% (0.71% - 1.79%);1.97% (1.21% - 3.03%)
Antofagasta;2020-05-26;  2063;  23;0,012415350;7,796542e-03;0,018736963;0,020474521;0,0128687347;0,03082125;1.24% (0.78% - 1.87%);2.05% (1.29% - 3.08%)
Antofagasta;2020-05-27;  2137;  25;0,013001083;8,347321e-03;0,019283166;0,021130660;0,0135820851;0,03127267;1.3% (0.835% - 1.93%);2.11% (1.36% - 3.13%)
Antofagasta;2020-05-28;  2248;  28;0,013796627;9,111224e-03;0,020010296;0,022560778;0,0149161821;0,03264965;1.38% (0.911% - 2%);2.26% (1.49% - 3.26%)
Antofagasta;2020-05-29;  2318;  28;0,013320178;8,795937e-03;0,019321370;0,021465266;0,0141905123;0,03107427;1.33% (0.88% - 1.93%);2.15% (1.42% - 3.11%)
Antofagasta;2020-05-30;  2429;  29;0,013096352;8,719595e-03;0,018872621;0,021214499;0,0141404644;0,03051236;1.31% (0.872% - 1.89%);2.12% (1.41% - 3.05%)
Antofagasta;2020-05-31;  2510;  31;0,013519603;9,139710e-03;0,019244221;0,021685235;0,0146821935;0,03082274;1.35% (0.914% - 1.92%);2.17% (1.47% - 3.08%)
Antofagasta;2020-06-01;  2585;  32;0,013513514;9,199749e-03;0,019126923;0,021392349;0,0145814020;0,03023064;1.35% (0.92% - 1.91%);2.14% (1.46% - 3.02%)
Antofagasta;2020-06-02;  2649;  34;0,013994911;9,652513e-03;0,019598365;0,021753120;0,0150202600;0,03041528;1.4% (0.965% - 1.96%);2.18% (1.5% - 3.04%)
Antofagasta;2020-06-03;  2716;  36;0,014432990;1,007315e-02;0,020016103;0,022057148;0,0154084814;0,03053956;1.44% (1.01% - 2%);2.21% (1.54% - 3.05%)
Antofagasta;2020-06-04;  2862;  38;0,014391287;1,015250e-02;0,019782399;0,022318969;0,0157600661;0,03062953;1.44% (1.02% - 1.98%);2.23% (1.58% - 3.06%)
Antofagasta;2020-06-05;  2924;  42;0,015571591;1,119701e-02;0,021065859;0,023702004;0,0170595382;0,03201469;1.56% (1.12% - 2.11%);2.37% (1.71% - 3.2%)
Antofagasta;2020-06-06;  3033;  47;0,016776076;1,230770e-02;0,022314133;0,025507509;0,0187379124;0,03388540;1.68% (1.23% - 2.23%);2.55% (1.87% - 3.39%)
Antofagasta;2020-06-07;  3154;  44;0,016067063;1,178650e-02;0,021373610;0,024484626;0,0179777034;0,03252050;1.61% (1.18% - 2.14%);2.45% (1.8% - 3.25%)
Antofagasta;2020-06-08;  3245;  45;0,015910630;1,171334e-02;0,021102140;0,024027692;0,0177075100;0,03182598;1.59% (1.17% - 2.11%);2.4% (1.77% - 3.18%)
Antofagasta;2020-06-09;  3402;  45;0,015107682;1,112112e-02;0,020039869;0,023086976;0,0170097482;0,03058026;1.51% (1.11% - 2%);2.31% (1.7% - 3.06%)
Antofagasta;2020-06-10;  3559;  56;0,017747858;1,350357e-02;0,022883470;0,027382382;0,0208582642;0,03525814;1.77% (1.35% - 2.29%);2.74% (2.09% - 3.53%)
Antofagasta;2020-06-11;  3753;  57;0,017042172;1,299795e-02;0,021928717;0,026769386;0,0204392356;0,03439619;1.7% (1.3% - 2.19%);2.68% (2.04% - 3.44%)
Antofagasta;2020-06-12;  3885;  65;0,018642181;1,447590e-02;0,023615167;0,029199282;0,0226949283;0,03692847;1.86% (1.45% - 2.36%);2.92% (2.27% - 3.69%)
Antofagasta;2020-06-13;  4038;  67;0,018414732;1,435529e-02;0,023247876;0,028858803;0,0225212696;0,03638135;1.84% (1.44% - 2.32%);2.89% (2.25% - 3.64%)
Antofagasta;2020-06-14;  4286;  72;0,018523154;1,457194e-02;0,023198956;0,029679088;0,0233779335;0,03712251;1.85% (1.46% - 2.32%);2.97% (2.34% - 3.71%)
Antofagasta;2020-06-15;  4556;  72;0,017350528;1,364782e-02;0,021733603;0,028440620;0,0223957635;0,03557314;1.74% (1.36% - 2.17%);2.84% (2.24% - 3.56%)
Antofagasta;2020-06-16;  4643;  72;0,017003676;1,337452e-02;0,021300082;0,027225947;0,0214372877;0,03406028;1.7% (1.34% - 2.13%);2.72% (2.14% - 3.41%)
Antofagasta;2020-06-17;  5241;  81;0,016767677;1,337691e-02;0,020744181;0,029197783;0,0233188722;0,03606378;1.68% (1.34% - 2.07%);2.92% (2.33% - 3.61%)
Antofagasta;2020-06-18;  5528;  87;0,016994462;1,366960e-02;0,020872056;0,029895408;0,0240761206;0,03666200;1.7% (1.37% - 2.09%);2.99% (2.41% - 3.67%)
Antofagasta;2020-06-19;  5828;  93;0,017157305;1,390289e-02;0,020933775;0,030396363;0,0246635237;0,03703612;1.72% (1.39% - 2.09%);3.04% (2.47% - 3.7%)
Antofagasta;2020-06-20;  6215;  94;0,016205267;1,314552e-02;0,019753843;0,029175408;0,0236978581;0,03551740;1.62% (1.31% - 1.98%);2.92% (2.37% - 3.55%)
Antofagasta;2020-06-21;  6461; 100;0,016531605;1,349913e-02;0,020032652;0,029372153;0,0240093061;0,03553990;1.65% (1.35% - 2%);2.94% (2.4% - 3.55%)
Araucanía;2020-04-07;   612;  14;0,029885057;1,600652e-02;0,050562210;0,154427628;0,0850593465;0,25009768;2.99% (1.6% - 5.06%);15.4% (8.51% - 25%)
Araucanía;2020-04-07;   612;  14;0,029885057;1,600652e-02;0,050562210;0,154427628;0,0850593465;0,25009768;2.99% (1.6% - 5.06%);15.4% (8.51% - 25%)
Araucanía;2020-04-08;   669;  15;0,028455285;1,564224e-02;0,047282596;0,129485703;0,0727186042;0,20792380;2.85% (1.56% - 4.73%);12.9% (7.27% - 20.8%)
Araucanía;2020-04-08;   669;  15;0,028455285;1,564224e-02;0,047282596;0,129485703;0,0727186042;0,20792380;2.85% (1.56% - 4.73%);12.9% (7.27% - 20.8%)
Araucanía;2020-04-09;   689;  16;0,029296875;1,648801e-02;0,047860873;0,111411662;0,0635377035;0,17663293;2.93% (1.65% - 4.79%);11.1% (6.35% - 17.7%)
Araucanía;2020-04-09;   689;  16;0,029296875;1,648801e-02;0,047860873;0,111411662;0,0635377035;0,17663293;2.93% (1.65% - 4.79%);11.1% (6.35% - 17.7%)
Araucanía;2020-04-10;   712;  16;0,028037383;1,577541e-02;0,045822233;0,091712457;0,0520985174;0,14636634;2.8% (1.58% - 4.58%);9.17% (5.21% - 14.6%)
Araucanía;2020-04-10;   712;  16;0,028037383;1,577541e-02;0,045822233;0,091712457;0,0520985174;0,14636634;2.8% (1.58% - 4.58%);9.17% (5.21% - 14.6%)
Araucanía;2020-04-11;   739;  17;0,028469751;1,635862e-02;0,045822150;0,082370768;0,0478759630;0,13047840;2.85% (1.64% - 4.58%);8.24% (4.79% - 13%)
Araucanía;2020-04-11;   739;  17;0,028469751;1,635862e-02;0,045822150;0,082370768;0,0478759630;0,13047840;2.85% (1.64% - 4.58%);8.24% (4.79% - 13%)
Araucanía;2020-04-12;   775;  17;0,026755853;1,536892e-02;0,043086893;0,070826346;0,0410052059;0,11242449;2.68% (1.54% - 4.31%);7.08% (4.1% - 11.2%)
Araucanía;2020-04-12;   775;  17;0,026755853;1,536892e-02;0,043086893;0,070826346;0,0410052059;0,11242449;2.68% (1.54% - 4.31%);7.08% (4.1% - 11.2%)
Araucanía;2020-04-13;   795;  17;0,025889968;1,486915e-02;0,041703869;0,062026675;0,0358592847;0,09875739;2.59% (1.49% - 4.17%);6.2% (3.59% - 9.88%)
Araucanía;2020-04-13;   795;  17;0,025889968;1,486915e-02;0,041703869;0,062026675;0,0358592847;0,09875739;2.59% (1.49% - 4.17%);6.2% (3.59% - 9.88%)
Araucanía;2020-04-14;   816;  20;0,029733959;1,799473e-02;0,046044995;0,065502904;0,0399032389;0,10042461;2.97% (1.8% - 4.6%);6.55% (3.99% - 10%)
Araucanía;2020-04-14;   816;  20;0,029733959;1,799473e-02;0,046044995;0,065502904;0,0399032389;0,10042461;2.97% (1.8% - 4.6%);6.55% (3.99% - 10%)
Araucanía;2020-04-15;   826;  21;0,030816641;1,892313e-02;0,047193880;0,062126653;0,0383487257;0,09429902;3.08% (1.89% - 4.72%);6.21% (3.83% - 9.43%)
Araucanía;2020-04-15;   826;  21;0,030816641;1,892313e-02;0,047193880;0,062126653;0,0383487257;0,09429902;3.08% (1.89% - 4.72%);6.21% (3.83% - 9.43%)
Araucanía;2020-04-16;   882;  21;0,028368794;1,741266e-02;0,043474437;0,056627404;0,0349474865;0,08614863;2.84% (1.74% - 4.35%);5.66% (3.49% - 8.61%)
Araucanía;2020-04-16;   882;  21;0,028368794;1,741266e-02;0,043474437;0,056627404;0,0349474865;0,08614863;2.84% (1.74% - 4.35%);5.66% (3.49% - 8.61%)
Araucanía;2020-04-17;   907;  22;0,028767123;1,789362e-02;0,043638679;0,054731859;0,0341674658;0,08238324;2.88% (1.79% - 4.36%);5.47% (3.42% - 8.24%)
Araucanía;2020-04-17;   907;  22;0,028767123;1,789362e-02;0,043638679;0,054731859;0,0341674658;0,08238324;2.88% (1.79% - 4.36%);5.47% (3.42% - 8.24%)
Araucanía;2020-04-18;   944;  23;0,028683181;1,806103e-02;0,043105947;0,053174173;0,0335985819;0,07935202;2.87% (1.81% - 4.31%);5.32% (3.36% - 7.94%)
Araucanía;2020-04-18;   944;  23;0,028683181;1,806103e-02;0,043105947;0,053174173;0,0335985819;0,07935202;2.87% (1.81% - 4.31%);5.32% (3.36% - 7.94%)
Araucanía;2020-04-19;   972;  23;0,027672956;1,742198e-02;0,041598669;0,049591166;0,0313094071;0,07406011;2.77% (1.74% - 4.16%);4.96% (3.13% - 7.41%)
Araucanía;2020-04-19;   972;  23;0,027672956;1,742198e-02;0,041598669;0,049591166;0,0313094071;0,07406011;2.77% (1.74% - 4.16%);4.96% (3.13% - 7.41%)
Araucanía;2020-04-20;  1045;  23;0,025345622;1,595059e-02;0,038123197;0,046456193;0,0293122944;0,06942977;2.53% (1.6% - 3.81%);4.65% (2.93% - 6.94%)
Araucanía;2020-04-20;  1045;  23;0,025345622;1,595059e-02;0,038123197;0,046456193;0,0293122944;0,06942977;2.53% (1.6% - 3.81%);4.65% (2.93% - 6.94%)
Araucanía;2020-04-21;  1092;  25;0,026229508;1,687643e-02;0,038777204;0,047635700;0,0307452783;0,07002727;2.62% (1.69% - 3.88%);4.76% (3.07% - 7%)
Araucanía;2020-04-21;  1092;  25;0,026229508;1,687643e-02;0,038777204;0,047635700;0,0307452783;0,07002727;2.62% (1.69% - 3.88%);4.76% (3.07% - 7%)
Araucanía;2020-04-22;  1113;  26;0,026709402;1,735785e-02;0,039177073;0,046728105;0,0304654361;0,06821081;2.67% (1.74% - 3.92%);4.67% (3.05% - 6.82%)
Araucanía;2020-04-22;  1113;  26;0,026709402;1,735785e-02;0,039177073;0,046728105;0,0304654361;0,06821081;2.67% (1.74% - 3.92%);4.67% (3.05% - 6.82%)
Araucanía;2020-04-23;  1142;  26;0,025906736;1,683407e-02;0,038007071;0,044057554;0,0287338708;0,06440234;2.59% (1.68% - 3.8%);4.41% (2.87% - 6.44%)
Araucanía;2020-04-24;  1184;  26;0,024826216;1,612918e-02;0,036431337;0,041608475;0,0270974841;0,06079567;2.48% (1.61% - 3.64%);4.16% (2.71% - 6.08%)
Araucanía;2020-04-25;  1203;  27;0,025341131;1,661894e-02;0,036911293;0,040957597;0,0269179391;0,05942037;2.53% (1.66% - 3.69%);4.1% (2.69% - 5.94%)
Araucanía;2020-04-26;  1216;  29;0,026948989;1,798046e-02;0,038714537;0,041850725;0,0279885239;0,05992417;2.69% (1.8% - 3.87%);4.19% (2.8% - 5.99%)
Araucanía;2020-04-27;  1236;  32;0,029272899;1,997433e-02;0,041294730;0,044087659;0,0301550939;0,06201040;2.93% (2% - 4.13%);4.41% (3.02% - 6.2%)
Araucanía;2020-04-28;  1251;  32;0,028864060;1,969418e-02;0,040721521;0,042085608;0,0287553032;0,05917537;2.89% (1.97% - 4.07%);4.21% (2.88% - 5.92%)
Araucanía;2020-04-29;  1273;  32;0,028284672;1,929722e-02;0,039909024;0,040311496;0,0275516037;0,05673412;2.83% (1.93% - 3.99%);4.03% (2.76% - 5.67%)
Araucanía;2020-04-30;  1293;  35;0,030465950;2,118890e-02;0,042314548;0,042490149;0,0296090587;0,05888565;3.05% (2.12% - 4.23%);4.25% (2.96% - 5.89%)
Araucanía;2020-05-01;  1295;  36;0,031305903;2,190058e-02;0,043271711;0,042164128;0,0295448432;0,05816098;3.13% (2.19% - 4.33%);4.22% (2.95% - 5.82%)
Araucanía;2020-05-02;  1314;  36;0,030782762;2,153304e-02;0,042553019;0,040758900;0,0285416834;0,05621337;3.08% (2.15% - 4.26%);4.08% (2.85% - 5.62%)
Araucanía;2020-05-03;  1328;  36;0,030408341;2,127001e-02;0,042038547;0,039506899;0,0276670705;0,05451377;3.04% (2.13% - 4.2%);3.95% (2.77% - 5.45%)
Araucanía;2020-05-04;  1331;  36;0,030329289;2,121448e-02;0,041929917;0,038388874;0,0268740618;0,05297149;3.03% (2.12% - 4.19%);3.84% (2.69% - 5.3%)
Araucanía;2020-05-05;  1352;  36;0,029787234;2,083375e-02;0,041184948;0,037387482;0,0261813640;0,05162333;2.98% (2.08% - 4.12%);3.74% (2.62% - 5.16%)
Araucanía;2020-05-06;  1362;  36;0,029535865;2,065721e-02;0,040839426;0,036489203;0,0255502308;0,05039420;2.95% (2.07% - 4.08%);3.65% (2.56% - 5.04%)
Araucanía;2020-05-07;  1385;  36;0,028973510;2,026231e-02;0,040066310;0,035678073;0,0249743703;0,04927205;2.9% (2.03% - 4.01%);3.57% (2.5% - 4.93%)
Araucanía;2020-05-08;  1403;  36;0,028548124;1,996363e-02;0,039481382;0,034938643;0,0244483911;0,04824656;2.85% (2% - 3.95%);3.49% (2.44% - 4.82%)
Araucanía;2020-05-09;  1418;  36;0,028203062;1,972138e-02;0,039006831;0,034255077;0,0239676519;0,04730881;2.82% (1.97% - 3.9%);3.43% (2.4% - 4.73%)
Araucanía;2020-05-10;  1454;  37;0,028191073;1,982109e-02;0,038816181;0,034575374;0,0243361502;0,04755678;2.82% (1.98% - 3.88%);3.46% (2.43% - 4.76%)
Araucanía;2020-05-11;  1466;  38;0,028704422;2,028935e-02;0,039349705;0,034893880;0,0246935701;0,04779387;2.87% (2.03% - 3.93%);3.49% (2.47% - 4.78%)
Araucanía;2020-05-12;  1482;  39;0,029118774;2,068681e-02;0,039750253;0,035201377;0,0250171146;0,04797656;2.91% (2.07% - 3.98%);3.52% (2.5% - 4.8%)
Araucanía;2020-05-13;  1495;  39;0,028831563;2,048197e-02;0,039360311;0,034585808;0,0245825784;0,04715255;2.88% (2.05% - 3.94%);3.46% (2.46% - 4.72%)
Araucanía;2020-05-14;  1536;  41;0,029433407;2,110913e-02;0,039865836;0,035781136;0,0256811102;0,04840311;2.94% (2.11% - 3.99%);3.58% (2.57% - 4.84%)
Araucanía;2020-05-15;  1564;  43;0,030281182;2,190932e-02;0,040712582;0,036936993;0,0267498589;0,04960538;3.03% (2.19% - 4.07%);3.69% (2.67% - 4.96%)
Araucanía;2020-05-16;  1587;  43;0,029787234;2,155056e-02;0,040051999;0,036316512;0,0263081151;0,04879536;2.98% (2.16% - 4.01%);3.63% (2.63% - 4.88%)
Araucanía;2020-05-17;  1606;  44;0,030090973;2,186076e-02;0,040319937;0,036550469;0,0265859852;0,04893842;3.01% (2.19% - 4.03%);3.66% (2.66% - 4.89%)
Araucanía;2020-05-18;  1639;  44;0,029411765;2,136546e-02;0,039414547;0,035923590;0,0261174003;0,04808529;2.94% (2.14% - 3.94%);3.59% (2.61% - 4.81%)
Araucanía;2020-05-19;  1666;  44;0,028878442;2,097660e-02;0,038703469;0,035303120;0,0256650478;0,04726139;2.89% (2.1% - 3.87%);3.53% (2.57% - 4.73%)
Araucanía;2020-05-20;  1680;  44;0,028609448;2,078049e-02;0,038344770;0,034688867;0,0252076623;0,04642800;2.86% (2.08% - 3.83%);3.47% (2.52% - 4.64%)
Araucanía;2020-05-21;  1715;  44;0,027958388;2,030589e-02;0,037476449;0,034082162;0,0247662943;0,04562349;2.8% (2.03% - 3.75%);3.41% (2.48% - 4.56%)
Araucanía;2020-05-22;  1737;  45;0,028205128;2,056705e-02;0,037680550;0,034265490;0,0250073376;0,04573197;2.82% (2.06% - 3.77%);3.43% (2.5% - 4.57%)
Araucanía;2020-05-23;  1774;  45;0,027551659;2,008887e-02;0,036811718;0,033668134;0,0245653767;0,04493190;2.76% (2.01% - 3.68%);3.37% (2.46% - 4.49%)
Araucanía;2020-05-24;  1808;  45;0,026977315;1,966866e-02;0,036047924;0,033081657;0,0241387668;0,04415935;2.7% (1.97% - 3.6%);3.31% (2.41% - 4.42%)
Araucanía;2020-05-25;  1857;  45;0,026190476;1,909308e-02;0,035001295;0,032502418;0,0237091255;0,04338103;2.62% (1.91% - 3.5%);3.25% (2.37% - 4.34%)
Araucanía;2020-05-26;  1883;  45;0,025791325;1,880114e-02;0,034470246;0,031925058;0,0232945114;0,04262967;2.58% (1.88% - 3.45%);3.19% (2.33% - 4.26%)
Araucanía;2020-05-27;  1916;  45;0,025301898;1,844321e-02;0,033818989;0,031344794;0,0228614065;0,04184453;2.53% (1.84% - 3.38%);3.13% (2.29% - 4.18%)
Araucanía;2020-05-28;  1954;  45;0,024760833;1,804757e-02;0,033098891;0,030763056;0,0224441131;0,04108778;2.48% (1.8% - 3.31%);3.08% (2.24% - 4.11%)
Araucanía;2020-05-29;  1989;  47;0,025386313;1,864455e-02;0,033717814;0,031555367;0,0231892835;0,04186082;2.54% (1.86% - 3.37%);3.16% (2.32% - 4.19%)
Araucanía;2020-05-30;  2060;  47;0,024429102;1,793940e-02;0,032451698;0,030953781;0,0227506444;0,04107619;2.44% (1.79% - 3.25%);3.1% (2.28% - 4.11%)
Araucanía;2020-05-31;  2071;  47;0,024287223;1,783489e-02;0,032263997;0,030354893;0,0223134978;0,04029395;2.43% (1.78% - 3.23%);3.04% (2.23% - 4.03%)
Araucanía;2020-06-01;  2111;  47;0,023784902;1,746493e-02;0,031599373;0,029754868;0,0218644067;0,03949005;2.38% (1.75% - 3.16%);2.98% (2.19% - 3.95%)
Araucanía;2020-06-02;  2141;  47;0,023421589;1,719737e-02;0,031118601;0,029158932;0,0214194047;0,03869319;2.34% (1.72% - 3.11%);2.92% (2.14% - 3.87%)
Araucanía;2020-06-03;  2173;  47;0,023046092;1,692087e-02;0,030621644;0,028573609;0,0209921558;0,03792784;2.3% (1.69% - 3.06%);2.86% (2.1% - 3.79%)
Araucanía;2020-06-04;  2182;  47;0,022942643;1,684470e-02;0,030484722;0,028003902;0,0205690478;0,03716966;2.29% (1.68% - 3.05%);2.8% (2.06% - 3.72%)
Araucanía;2020-06-05;  2288;  48;0,022264330;1,640376e-02;0,029497827;0,028051568;0,0206884641;0,03714017;2.23% (1.64% - 2.95%);2.81% (2.07% - 3.71%)
Araucanía;2020-06-06;  2321;  49;0,022388060;1,655222e-02;0,029574724;0,028096431;0,0207920642;0,03708932;2.24% (1.66% - 2.96%);2.81% (2.08% - 3.71%)
Araucanía;2020-06-07;  2377;  31;0,021818182;1,612977e-02;0,028824615;0,027552544;0,0203848754;0,03636870;2.18% (1.61% - 2.88%);2.76% (2.04% - 3.64%)
Araucanía;2020-06-08;  2410;  32;0,021943574;1,627701e-02;0,028907758;0,027571902;0,0204678950;0,03629257;2.19% (1.63% - 2.89%);2.76% (2.05% - 3.63%)
Araucanía;2020-06-09;  2445;  32;0,021604938;1,602516e-02;0,028463218;0,027017425;0,0200490401;0,03555557;2.16% (1.6% - 2.85%);2.7% (2% - 3.56%)
Araucanía;2020-06-10;  2488;  33;0,021635656;1,610001e-02;0,028425387;0,027008560;0,0201141274;0,03545882;2.16% (1.61% - 2.84%);2.7% (2.01% - 3.55%)
Araucanía;2020-06-11;  2535;  34;0,021628499;1,614521e-02;0,028340381;0,026989286;0,0201559717;0,03532789;2.16% (1.61% - 2.83%);2.7% (2.02% - 3.53%)
Araucanía;2020-06-12;  2579;  35;0,021648626;1,620947e-02;0,028293326;0,026963455;0,0201968172;0,03520157;2.16% (1.62% - 2.83%);2.7% (2.02% - 3.52%)
Araucanía;2020-06-13;  2645;  36;0,021474878;1,612653e-02;0,027996489;0,026932153;0,0202367038;0,03507962;2.15% (1.61% - 2.8%);2.69% (2.02% - 3.51%)
Araucanía;2020-06-14;  2675;  36;0,021216974;1,593238e-02;0,027661371;0,026396268;0,0198323290;0,03438369;2.12% (1.59% - 2.77%);2.64% (1.98% - 3.44%)
Araucanía;2020-06-15;  2728;  36;0,020776166;1,560056e-02;0,027088530;0,025871632;0,0194342802;0,03369846;2.08% (1.56% - 2.71%);2.59% (1.94% - 3.37%)
Araucanía;2020-06-16;  2775;  36;0,020400308;1,531765e-02;0,026600029;0,025358960;0,0190518955;0,03304000;2.04% (1.53% - 2.66%);2.54% (1.91% - 3.3%)
Araucanía;2020-06-17;  2815;  36;0,020090978;1,508484e-02;0,026197952;0,024858924;0,0186754788;0,03239163;2.01% (1.51% - 2.62%);2.49% (1.87% - 3.24%)
Araucanía;2020-06-18;  2864;  37;0,020096762;1,513247e-02;0,026141383;0,024831962;0,0187050070;0,03227162;2.01% (1.51% - 2.61%);2.48% (1.87% - 3.23%)
Araucanía;2020-06-19;  2897;  38;0,020220588;1,526834e-02;0,026239380;0,024801413;0,0187339441;0,03215572;2.02% (1.53% - 2.62%);2.48% (1.87% - 3.22%)
Araucanía;2020-06-20;  2920;  39;0,020415603;1,545767e-02;0,026430321;0,024769047;0,0187623091;0,03204370;2.04% (1.55% - 2.64%);2.48% (1.88% - 3.2%)
Araucanía;2020-06-21;  2969;  39;0,020057307;1,518576e-02;0,025967867;0,024304376;0,0184111662;0,03144786;2.01% (1.52% - 2.6%);2.43% (1.84% - 3.14%)
Arica y Parinacota;2020-04-29;   272;   4;0,020979021;4,347451e-03;0,060084079;0,071609111;0,0149796917;0,19483120;2.1% (0.435% - 6.01%);7.16% (1.5% - 19.5%)
Arica y Parinacota;2020-04-30;   279;   4;0,020000000;4,143625e-03;0,057334222;0,058882350;0,0122990883;0,16242222;2% (0.414% - 5.73%);5.89% (1.23% - 16.2%)
Arica y Parinacota;2020-05-01;   297;   4;0,017857143;3,697821e-03;0,051297070;0,049962221;0,0104323296;0,13924325;1.79% (0.37% - 5.13%);5% (1.04% - 13.9%)
Arica y Parinacota;2020-05-02;   307;   4;0,016853933;3,489264e-03;0,048462022;0,043431718;0,0090576074;0,12184715;1.69% (0.349% - 4.85%);4.34% (0.906% - 12.2%)
Arica y Parinacota;2020-05-03;   308;   4;0,016759777;3,469695e-03;0,048195656;0,038402920;0,0080030284;0,10831165;1.68% (0.347% - 4.82%);3.84% (0.8% - 10.8%)
Arica y Parinacota;2020-05-04;   308;   4;0,016759777;3,469695e-03;0,048195656;0,034396755;0,0071684197;0,09748083;1.68% (0.347% - 4.82%);3.44% (0.717% - 9.75%)
Arica y Parinacota;2020-05-05;   315;   4;0,016129032;3,338626e-03;0,046410027;0,031176400;0,0064914548;0,08861810;1.61% (0.334% - 4.64%);3.12% (0.649% - 8.86%)
Arica y Parinacota;2020-05-06;   318;   5;0,021164021;5,795880e-03;0,053299118;0,038111697;0,0104755934;0,09467228;2.12% (0.58% - 5.33%);3.81% (1.05% - 9.47%)
Arica y Parinacota;2020-05-07;   325;   6;0,025510204;8,333848e-03;0,058525224;0,044128242;0,0145210498;0,10024198;2.55% (0.833% - 5.85%);4.41% (1.45% - 10%)
Arica y Parinacota;2020-05-08;   327;   6;0,025252525;8,249155e-03;0,057944075;0,041234445;0,0135513100;0,09379907;2.53% (0.825% - 5.79%);4.12% (1.36% - 9.38%)
